XLOC_046769,5,8107374,8108272
XLOC_063582,8,10084554,10088206
XLOC_001807,1,18683379,18685168
XLOC_016563,11,14436760,14438629
XLOC_011272,10,8203251,8203778
OS10G0479100,10,17974475,17975796
XLOC_025296,2,27302207,27302839
OS02G0633600,2,25410428,25410891
OS09G0251400,9,3930166,3930539
OS05G0316166,5,14601209,14601585
XLOC_016882,11,18679725,18680040
OS05G0195000,5,5818086,5821365
OS04G0638901,4,32473520,32474170
OS02G0512200,2,18379663,18380230
XLOC_049307,6,5495338,5495713
OS01G0698500,1,28900223,28903951
XLOC_011231,10,7619965,7621324
