1,5,2069338,2760413,
2,6,1764586,5425602,
3,2,2105542,2882252,
4,6,1764586,5425602,
5,6,5425408,24913615,
6,10,17481862,17627660,
7,3,31490136,35089139,
8,5,22309016,24371958,
9,5,22309016,24371958,
10,3,27494415,31496678,
11,2,5263536,18269395,
12,3,16620034,16619778,
13,1,43337688,43337260,
14,7,2112213,2115536,
15,7,2666587,4608381,
16,12,9414819,9536731,
17,10,19255571,19690557,
18,10,19255571,19255928,
19,1,42157734,42364623,
20,1,42157734,42364623,
21,10,13111494,14711256,
22,2,23021123,26356387,
23,2,26352595,27974295,
24,12,23749070,26368115,
25,4,31786937,31949802,
26,2,20728825,25430309,
27,7,4085041,21393981,
28,1,41923730,41923950,
29,8,4377457,4377597,
30,10,4320288,4324891,
31,5,23655231,23802397,
32,4,29158445,33234173,
33,11,383711,2827670,
34,10,19577439,22899293,
35,2,32389877,32389986,
36,10,19343755,19470171,
37,8,5108226,5115915,
38,2,10835902,12493559,
39,2,6387908,6469287,
40,3,17142206,17260389,
41,1,4424186,4424560,
42,5,10787462,10787755,
43,1,15849886,15856220,
44,11,9035057,9035344,
45,3,32233979,32347378,
46,1,33864124,35233045,
47,3,36693668,37199035,
48,10,5016823,10014985,
49,4,679929,13211273,
50,1,1622417,1642432,
51,1,38110750,38249213,
52,6,3085639,3085922,
53,12,22456650,23301307,
54,4,24646179,25619040,
55,4,24646179,25619040,
56,4,24646179,25619040,
57,4,21926953,24646318,
58,6,30762933,31849183,
59,6,30762933,31849183,
60,4,33424905,33430563,
61,4,33424905,33430563,
62,4,33424905,33430563,
63,4,33424905,33430563,
64,4,31080146,33425145,
65,1,41963580,44719439,
66,9,22021233,23552932,
67,6,30762933,31849183,
68,4,27941367,30762314,
69,6,23557477,28706469,
70,1,27797914,30720282,
71,6,5096744,5425602,
72,8,26582935,27651023,
73,3,17343910,17472917,
74,6,18094296,18246420,
75,3,7252976,7328472,
76,12,5645531,5804408,
77,1,36697294,42364623,
78,9,19168716,20079157,
79,1,36697294,42364623,
80,1,42496228,43337260,
81,4,6571336,24646318,
82,9,18374393,20828859,
83,6,4234080,6399814,
84,6,4234080,28130383,
85,1,29092066,31822450,
86,1,5558578,5759851,
87,6,1764586,2292076,
88,4,25273817,25274481,
89,7,6413144,6413348,
90,3,3939279,4098191,
91,8,1584134,5333855,
92,2,36292667,36292865,
93,1,14045859,42715593,
94,2,36028513,36318752,
95,9,12410287,18491736,
96,6,4844259,5425602,
97,1,7476658,35715948,
98,7,11391449,13444846,
99,3,23850041,25360678,
100,1,196647,1891262,
101,1,39466088,43764612,
102,1,43765087,44751487,
103,4,35277669,35283358,
104,1,196647,1891262,
105,6,4032516,4212697,
106,2,33667096,36028798,
107,5,5311917,10787755,
108,2,33667096,36028798,
109,2,11418741,21658842,
110,5,7509091,10787755,
111,2,33667096,36028798,
112,1,4424186,5941561,
113,2,21658702,26758298,
114,1,34810383,38491404,
115,2,33667096,36028798,
116,5,5311917,10787755,
117,9,19464779,23552932,
118,3,25891087,27899169,
119,6,8054255,11750090,
120,3,16196565,16199182,
121,1,40287847,41923950,
122,3,13274763,16024796,
123,5,2069338,2760413,
124,1,32494603,32627034,
125,8,26582935,28166213,
126,5,24086072,27457701,
127,2,7462419,11418936,
128,1,28571547,34744337,
129,1,40038301,40288357,
130,5,1243631,1376781,
131,2,18269869,20729299,
132,4,25273817,25274481,
133,9,6491728,6492209,
134,9,6491728,6492209,
135,9,6491728,6492209,
136,7,25961839,25965832,
137,12,23698130,26368115,
138,9,19479227,19479974,
139,1,29747390,29878594,
140,6,31821199,31825208,
141,4,4433646,4435752,
142,4,31923161,31926406,
143,6,8054255,8066362,
144,12,12388491,12390602,
145,6,28536072,28538177,
146,3,36297173,36303203,
147,1,39466088,39470731,
148,6,25794136,25797291,
149,12,12388491,12390602,
150,12,12388491,12390602,
151,6,8054255,8066362,
